status,suggested_title,sources,raw_hanabira,raw_jkindrix,meaning_hint_UNTRUSTED,formation_hint,flags
OK,なりとも,hb+jk,Noun なりとも (~nari tomo),Noun + なりとも,"Indicates even a small amount or degree; 'even a little', 'at least'.",Noun + なりとも,family=なり family
OK,なりに,jk,,Noun + なりに ,in one's own way / in the manner suited to,Noun + なりに (adverbial) / なりの + noun (attributive).,family=なり family
OK,なりの,jk,, なりの,in one's own way / in the manner suited to,Noun + なりに (adverbial) / なりの + noun (attributive).,family=なり family
OK,なり～なり,hb+jk,Noun なり Noun なり (A nari B nari),Noun/V + なり + noun/V + なり,"Indicates several alternatives; 'either...or', 'such as...'",Noun + なり + Noun + なり,family=なり family
OK,にあって,jk,,Noun + にあって,in / at / during (formal literary),Noun + にあって.,
OK,にあっては,hb,Noun にあっては (Noun ni atte ha),,Indicates a specific situation or environment in which something happens or is the case.,Noun + にあっては,
REVIEW,にありがち,jk,,Noun + にありがち,common to / typical of (often with negative nuance),Noun + にありがち(な + noun / だ).,junk=vocabulary-ish (check level)
OK,にあるまじき,hb,Noun にあるまじき Noun (Noun ni aru majiki Noun),,"Expresses the idea of 'unfitting', 'unbecoming' or 'inappropriate'.",Noun1 にあるまじき Noun2,
OK,にして,hb,Noun にして (Noun ni shite),,"Expresses the idea 'even for', 'even though', or 'in spite of'.",Noun + にして,
OK,にして初めて,hb+jk,Noun にして初めて (Noun nishite hajimete),Noun + にして初めて,Expresses 'only when/after... for the first time'.,Noun + にして初めて,
OK,にしろ～にしろ,hb,A にしろ B にしろ (A nishiro B nishiro),,Whether it is A or B; Regardless of A or B,"Noun A + にしろ + Noun B + にしろ, Verb-casual A + にしろ + Verb-casual B + にしろ",family=にしろ/にせよ pair
OK,にすら,hb,Noun にすら (〜ni sura),,"Expresses the concept of 'even'; 'even in', 'even as', 'even to'.",Noun + にすら,family=すら family
OK,にせよ～にせよ,hb,A にせよ B にせよ (A ni seyo B ni seyo),,"Either A or B, Regardless of A or B.",Noun + にせよ Noun + にせよ,family=にしろ/にせよ pair
OK,につけ～につけ,hb,A につけ B につけ （A ni tsuke B ni tsuke）,,"Used to express 'whether... or...', 'both... and...', 'in either case'.",Phrase A + につけ、Phrase B + につけ,family=につけ…につけ
OK,になぞらえて,jk,,Noun + になぞらえて,likening to / comparing to (metaphorically),Noun + になぞらえて.,
OK,には及ばない,hb+jk,～には及ばない (〜ni wa oyobanai),V dict / noun + には及ばない,Not necessary; Unworthy of,Verb-dictionary form + には及ばない,
OK,にひきかえ～は,hb,Noun にひきかえ Noun は (~ni hikikae ~ wa),,"Represents 'in contrast to', 'as opposed to'.",Noun 1 + にひきかえ + Noun 2 + は,
REVIEW,にまつわる,jk,,Noun + にまつわる,related to / concerning / surrounding,Noun + にまつわる + noun (attributive); noun + にまつわり (adverbial).,"junk=vocabulary verb, N2-ish (check level)"
OK,にもほどがある,jk,,Noun / V plain + にもほどがある,there's a limit to / (X) goes too far,Noun + にもほどがある; plain-form clause + にもほどがある.,
OK,にもまして,hb+jk,Noun にもまして (〜ni mo mashite),Noun + にもまして,This expresses 'Even more than; exceeding'.,Noun + にもまして,
OK,によらず,hb,Noun によらず (～ni yorazu),,"Regardless of, irrespective of.",Noun + によらず,
OK,に他ならない,jk,,Noun + に他ならない,is nothing but / is exactly / is none other than,Noun + に他ならない.,
OK,に先駆けて,hb+jk,Noun に先駆けて (〜ni saki gakete),Noun + に先駆けて,"Meaning 'ahead of', 'before', or 'preceding in time'.",Noun + に先駆けて,
OK,に則って,jk,,Noun + に則って ,"in accordance with / according to (rules, customs)",Noun + に則って / に則り.,
OK,に則り,jk,, に則り,"in accordance with / according to (rules, customs)",Noun + に則って / に則り.,
OK,に即した,hb+jk,Noun に即した Noun (A ni sokushita B), に即した,"Expresses the idea of 'in accordance with', 'based on'.",Noun1 + に即した + Noun2,
OK,に即して,hb+jk,Noun に即して Verb (〜ni soku shite ~),Noun + に即して ,"The grammar point Noun に即して Verb is used to mean 'to act in accordance with', 'in line with' or 'based on'.",Noun + に即して + Verb,
OK,に堪えない,hb+jk,～に堪えない (～ni taenai),Verb dict / noun + に堪えない,Used to express that something is unbearable or hard to stand.,"Verb-dictionary form + に堪えない, Noun + に堪えない",
OK,に堪える,hb+jk,～に堪える (～ni taeru),Verb dict / noun + に堪える,"Signify 'cannot stand', 'can’t help but feel', 'cannot be overlooked'.","Verb-dictionary form + に堪える, Verb-nai form + に堪える, い-adjective + さ + に堪える, な-Adjective + さ + に堪える, Noun + の + に堪える",
REVIEW,に定評がある,jk,,Noun + に定評がある,is well-known for / has a solid reputation for,Noun + に定評がある.,"junk=vocabulary collocation, not grammar"
OK,に相違ない,jk,,Plain form + に相違ない,no doubt / certainly / I'm sure,V plain / i-adj + に相違ない; na-adj / noun + に相違ない.,
OK,に耐える,hb,～に耐える (～ni taeru),,"To endure or withstand something; 'endure', 'withstand', 'tolerate'.",Noun + に耐える,
OK,に至った,hb,～に至った (〜ni itatta),,"Expresses the outcome of a process or a series of events; 'reached the point', 'led to'.",Verb-てform + に至った,
OK,に至っては,jk,,Noun + に至っては,when it comes to / as for (extreme case),Noun + に至っては.,
REVIEW,に言わせれば,hb,Noun に言わせれば (Noun ni iwasereba),,"Expresses 'according to', 'if you ask', 'in the opinion of'.",Noun + に言わせれば,junk=ours N2 ～に言わせれば; dupe_ours=N2 ～に言わせれば
OK,に越したことはない,hb,～に越したことはない (〜ni koshita koto wa nai),,Expresses the idea 'it is best to...' or 'nothing better than...'.,"Verb-てform + に越したことはない, い-Adjective + に越したことはない,な-Adjective + に越したことはない, Noun + に越したことはない",
OK,に足りない,hb+jk,～足りない (～tarinai),Noun / V dict-form + に足りない,not worth / insufficient for / unworthy of,Noun / V dict-form + に足りない.,
OK,に足る,hb+jk,～足る Noun (〜taru～),Verb dict-form / noun + に足る,worth / sufficient to / deserving of,V dict-form + に足る; noun + に足る. Attributive: 〜に足る + noun.,
OK,に鑑みて,jk,,Noun + に鑑みて,in view of / considering,Noun + に鑑みて.,
OK,に関わる,jk,,Noun + に関わる,involves / affects / concerns (seriously),Noun + に関わる; attributive 〜に関わる + noun.,
OK,に限ったことではない,hb,Noun に限ったことではない (〜ni kagitta koto dewa nai),,"Indicates that something is not only limited to; 'not only', 'not just'.",Noun + に限ったことではない,
OK,に限ったことでもない,hb,Noun に限ったことでもない (~ ni kagitta koto demo nai),,"'Not limited to'; 'not just', 'not exclusively'.",Noun + に限ったことでもない,
REVIEW,に限る,hb,Noun に限る (~ni kagiru),,"Expresses the idea that 'nothing but', 'nothing is better than'.",Noun + に限る,junk=N3 preference (check level)
OK,に難くない,hb+jk,～に難くない (～ni muzukunai),Noun / V dict + に難くない,Expresses the idea that something is not difficult; 'not difficult to ~',Verb-ない form (Remove ない) + に難くない,
OK,に飽き足らず,jk,,Noun / plain form + に飽き足らず,not content with / not satisfied with (and seeking more),Noun / V plain + に飽き足らず.,
OK,に～を重ねて,hb,Noun に Noun を重ねて (A ni B wo kasanete),,"This expression is used to describe repeated actions or states, 'one after another' or 'pile up'.",Noun に Noun を重ねて,
OK,ぬいた,hb,Noun ぬいた Noun (A nuita B),,Expresses the idea of 'taking something out from something else'.,Noun1 + をぬいた + Noun2,
OK,ぬいて,hb,Noun + ぬいて（~nuite),,This is a way to express 'minus' or 'except for' some specific noun.,Noun + ぬいて,
REVIEW,ぬく,hb,～ぬく (~nuku),,Expresses the concept of doing something completely or thoroughly.,Verb-stem + ぬく,"junk=N2 やり抜く compound, check level"
OK,のいかんだ,hb,Noun+のいかんだ (Noun no ikan da),,Depends on; up to,Noun + のいかんだ/Noun + のいかんでは,family=いかん family
OK,のいかんでは,hb,Noun のいかんでは (Noun no ikan de wa),,It depends on the Noun,Noun + のいかんでは,family=いかん family
OK,のいかんにかかわらず,hb,Noun のいかんにかかわらず (Noun no ikan ni kakawarazu),,"Regardless of, irrespective of.",Noun + のいかんにかかわらず,family=いかん family
OK,のいかんによっては,hb,Noun のいかんによっては (Noun no ikan ni yotte wa),,Depending on the matter; depending on noun,Noun + のいかんによっては,family=いかん family
OK,のいかんによらず,hb,Noun のいかんによらず (~ no ikan ni yorazu),,"Means 'regardless of', 'irrespective of', or 'no matter'",Noun + のいかんによらず,family=いかん family
OK,のかたわら,jk,,V plain / noun + の + かたわら,while also / alongside (doing),V dict-form + かたわら; noun + の + かたわら.,
OK,のことだから,hb,Noun のことだから (〜no koto dakara),,"Because it is about ~, considering it's ~",Noun + のことだから,
OK,のことながら,jk,,Noun + の + こと + ながら,as usual / as expected / as one would expect,Noun + の + こと + ながら.,
OK,のごとき,hb,Noun のごとき Noun (A no gotoki B),,Expresses 'like' or 'as if'; something/someone resembles much to something else,Noun1 + のごとき + Noun2,family=ごとき/ごとく family
OK,のごとく,jk,,Plain form / noun + の + ごとく,just as / like / as if (literary),V plain + (が)ごとく; noun + の + ごとく. Attributive: ごとき + noun.,family=ごとき/ごとく family
REVIEW,のない,hb,Verb の ない Noun (~ no nai ~),,Used to modify a noun with a negative verb form; 'Noun where verb does not happen'.,Verb in negative form + の + Noun,"junk=basic N4 attributive, not N1"
OK,のは～ぐらいのものだ,hb,～のは Noun ぐらいのものだ (〜no wa 〜 gurai no mono da),,Expresses the idea that 'only/exclusively Noun' or 'nothing but Noun'.,"Verb-casual + のは Noun + ぐらいのものだ, い-Adjective + のは Noun + ぐらいのものだ,な-Adjective + のは Noun + ぐらいのものだ, Noun + のは Noun + ぐらいのものだ",
OK,のみ,jk,,Noun / V plain + のみ,only / just (literary),Noun + のみ; V plain + のみ.,
OK,のやら～のやら,hb,A のやら B のやら (A noyara B noyara),,Used when the speaker is confused or unsure about multiple things.,Noun 1 + のやら + Noun 2 + のやら,family=のやら family
OK,のよしみで,jk,,Noun + のよしみで,for the sake of / by virtue of the connection,Noun + の + よしみで.,
OK,の嫌いがある,hb,Noun の 嫌いがある (Noun no kirai ga aru),,Have a dislike for a particular Noun,Noun + の嫌いがある,
OK,の手前,hb+jk,Noun の手前 (~no temae),V plain / noun + の + 手前,Expresses the idea of 'Before doing action; on the verge of'.,Noun + の手前,
OK,の極み,hb+jk,Noun の極み (〜no kiwami),Noun + の極み,Used to express the extreme or utmost point of something.,Noun + の極み,
OK,の至り,hb+jk,Noun の 至り (~no itari),Noun (emotion) + の至り,"Expresses the highest degree of something, 'the height of', 'the extreme of'.",Noun + の至り,
OK,はいざ知らず,hb,Noun はいざ知らず (~ wa iza shirazu),,"Used to express that it's understood why 'A' would be the case but not 'B'. It's like saying 'Well, I can understand it for A, but for B...?'","Noun + はいざ知らず, Noun + だけど/しかし/とは言え",
OK,はおろか～すら,hb,Noun は おろか～すら (Noun wa oroka ～sura),,"Expresses the meaning of 'not to mention ~, even ~'.","Noun1 はおろか, Noun2 すら/さえ",family=はおろか (すら/まで/も)
OK,はおろか～まで,hb,Noun はおろか～まで (~wa oroka ~made),,Even; not to mention; let alone,Noun1 + はおろか + Noun2 + まで,family=はおろか (すら/まで/も)
OK,はおろか～も,hb,Noun はおろか～も (Noun wa oroka ～ mo),,"'Not only...but also', 'not to mention', 'to say nothing of'",Noun + はおろか + Noun + も,family=はおろか (すら/まで/も)
OK,はさておき,hb,Noun はさておき (~ wa sateoki),,"Means 'putting aside', 'aside from', 'notwithstanding'.",Noun + はさておき,
OK,はどうであれ,hb,Noun + はどうであれ (~ wa dou de are),,"This phrase means 'regardless of' or 'no matter how…'. It is used to express the idea that 'whatever the state or condition of the noun, we should not care'.",Noun + はどうであれ,family=であれ…であれ
OK,はばからない,jk,,V-て form + はばからない,does not hesitate to / declares openly,V-て + はばからない.,
OK,ばきりがない,hb,Verb ば きり が ない (〜ba kiri ga nai),,"Used to indicate an absence of any limit or end, expressing 'if one starts to …, there will be no end to it'.",Verb-conditional form + ば + きりがない,
OK,ば～ものを,hb,～ば～ものを (～ba～mono o),,"Expresses regret about a situation that did not happen; 'if only', 'it would be good if'.","Verb-casual, past + ば + Verb-casual, past + ものを, い-Adjective + ければ + い-Adjective + ものを, な-Adjective + であれば + な-Adjective + ものを, Noun + であれば + Noun + ものを",
REVIEW,ひいては,jk,,ひいては (sentence-initial / mid-sentence),by extension / ultimately / eventually,[immediate statement]、ひいては [broader / longer-term consequence].,junk=N2 adverb (check level)
OK,ひとたび,jk,,ひとたび + V + (ば / と / たら),once (X happens),ひとたび + V plain + ば / と / たら + main clause.,
REVIEW,びた,hb,～びた Noun (～ bi ta ～),,Used to emphasise the objective or target of an action.,Verb-volitional + びた + Noun,"junk=unclear hanabira point, not standard N1"
REVIEW,びる,hb,～びる (〜biru),,Express an action that one does repeatedly or habitually.,Verbs-masu-stem + びる,"junk=vocabulary suffix verb (寒びる), not grammar"
REVIEW,ぶった,hb,～ぶった,,This structure is used to indicate something 'struck with' or 'hit by' the meaning of the noun.,"Noun + を + ぶった, Verb +て/で + ぶった","junk=vocabulary-ish, not grammar"
REVIEW,ぶって,hb,～ぶって (〜butte),,Used to express the act of pretending or acting in a particular manner.,Verb-stem + ぶって,"junk=vocabulary-ish (偉ぶって), not grammar"
REVIEW,ぶり,hb,～ぶり (〜buri),,Express the amount of time elapsed since doing something last.,Time expression + ぶり,"junk=N2 suffix (久しぶり/遠慮ぶり), check level"
REVIEW,ぶる,hb,～ぶる (〜buru),,Used when someone is acting or pretending to be something they are not.,Noun + ぶる,"junk=vocabulary suffix verb (偉ぶる), not grammar"
OK,べくして,jk,,Verb dict-form + べくして,inevitably / as one would expect / destined to,V dict-form + べくして + (usually the same verb in past). Common pattern: 〜べくして + 〜た.,family=べし family (classical)
OK,ほかならぬ,jk,,Noun + ほかならぬ + noun,none other than / this very (special case),Noun + ほかならぬ + noun.,
OK,ほどの,jk,,Noun / plain form + ほどの + noun,of such a degree / to the extent of (a),Noun / V plain + ほどの + noun.,
OK,まじき,jk,,V dict-form + まじき + noun,unacceptable / unbecoming / should not,V dict-form + まじき + noun (role / position).,
OK,までだ,hb+jk,～までだ (～made da),V dict-form + までだ ,"Expresses the limit or 'up to' something; 'it's only', 'as far as', 'up to'.","Verb-dictionary form or ない form + までだ, い-Adjective + までだ, Noun + までだ",family=まで family
OK,までのことだ,jk,, までのことだ,(I'll) just / I'll simply X (if needed),V dict-form + までだ / までのことだ.,family=まで family
OK,まみれ,hb,Noun まみれ (~mamire),,"Used to express a state in which something is entirely covered, smeared, or filled with something else.",Noun + まみれ,family=ずくめ/まみれ suffix pair
OK,まんざら～でもない,jk,,まんざら + plain form + でもない,not entirely / not completely (negation hedged),まんざら + noun / adjective / V plain + でもない.,
REVIEW,めかす,jk,,Noun + めかす,hint at / show a look of,Noun + めかす (conjugates as godan u-verb).,"junk=vocabulary verb, not grammar"
OK,もさることながら,jk,,Noun + もさることながら,not to mention / while X is also (true),Noun + もさることながら.,
OK,もさることながら～も,hb,Noun もさることながら Noun も (A mo saru koto nagara B mo),,"Meaning 'not only... but also'. Expresses that both Nouns are true or notable, but the second is particularly emphasized.",Noun1 + もさることながら + Noun2 + も,
OK,もしないで,hb,Verb もしないで (~ mo shinai de),,Meaning: 'without even doing'.,Verb-dictionary form + もしないで,
OK,もなんでもない,hb,～もなんでもない (〜mo nandemonai),,"Expression used to dismiss or negate something's importance or significance; 'it's nothing at all', 'it does not matter'.","Verb-dictionary form + もなんでもない, い-Adjective + もなんでもない,な-Adjective + なもなんでもない, Noun + もなんでもない",
OK,ものとして,hb,～ものとして (～mono to shite),,Assuming/Under the assumption that/In the event.,"Verb-casual + ものとして, い-Adjective + ものとして, な-Adjective + なものとして, Noun + のものとして",
OK,ものなら,jk,,Verb volitional + ものなら,if one were to X / if you dare to X,V volitional (よう / おう) + ものなら.,
OK,ものを,jk,,Plain form + ものを,if only / you should have (regret),V plain / i-adj + ものを; na-adj + な + ものを; noun + の + ものを.,
REVIEW,も兼ねて,hb,Noun も兼ねて (~mo kane te),,"Used to express 'as well as', 'also', 'at the same time'.",Noun + も兼ねて,junk=兼ねて is N3/N2 material (check ours/level)
OK,も構わず,jk,,Noun / plain form + も構わず,without caring about / regardless of (formal),Noun / plain form + も構わず.,
OK,も相まって,hb,Noun も相まって (~mo aimatte),,"Used to express that combined with something else, it caused a certain outcome",Noun + も相まって,
OK,も～なら、～も～だ,hb,"Noun1 も Noun1 なら、Noun2 も Noun2 だ (A mo A nara, B mo B da)",,"The structure expresses 'if it is said that ~, then it can be said that ~' or '~ not only, but also ~'.",Noun1 + も + Noun1 + なら、Noun2 + も + Noun2 + だ,
OK,やしない,hb,Verb やしない (~yashinai),,"Expresses the idea of 'not doing such things', 'no way', or strong denial.",Verb-dictionary form + やしない,
REVIEW,よう,hb,Verb よう (~ you),,The means to do something or the way something is done.,Verb-て form + よう,junk=not a distinct N1 point (ように usage)
OK,ようか～るまいか,hb,Verb ようか Verbる まいか (Verb you ka Verb ru mai ka),,Expresses hesitation or indecision between two actions; 'whether to' or 'should I or not'.,Verb-volitional + か + Verb-nonpast negative + か,family=まい family
OK,ようがない,hb,Verb ようがない (〜yō ga nai),,No way to do something. Not possible.,Verb-volitional + ようがない,family=うが/うと indifference pair
OK,ようが～るまいが,hb,Verb ようが Verb るまいが (Verb you ga Verb ru mai ga),,"Expresses the sense of 'whether...or', 'no matter whether... or not'.",Verb-volitional form + が + Verb-negative volitional form + が,family=まい family
OK,ようと～るまいと,hb,Verb ようと Verbる まいと (Verb you to Verb ru mai to),,"This structure indicates that regardless if one does verb 1 or not (verb 2), the outcome remains the same.",Verb-volitional form + ようと + Verb-negative form + まいと,family=まい family
REVIEW,ようにも,hb+jk,Verb ようにも (〜you ni mo),V volitional + にも + V potential negative,Used to express something that cannot be done even though one wants to.,Verb-volitional form + ようにも,junk=ours N2 ～（よ）うにも～ない
REVIEW,ようにも～れない,hb,Verb ようにも Verb れない (〜you ni mo 〜renai),,Expresses the inability to do something even if one wants to,Verb-potential + ようにも + Verb-potential negative form,junk=ours N2 ～（よ）うにも～ない
OK,ようもない,hb,Verb ようもない (~you mo nai),,Expresses that something is impossible to do.,Verb-potential form-(removeい)+う + もない,
OK,をおいて,jk,,Noun + をおいて (+ negative),other than / except for (no one else but),"Noun + をおいて + negative main clause (ない, いない, etc.).",
OK,をおいて他に～ない,hb,Noun を おいて他に Verb ない (〜wo oite hoka ni〜nai),,"This grammar point means 'apart from ~ there's nothing else', implying the Noun is the best or most suitable choice.",Noun + をおいて他に + Verb negative form,
OK,をもって,hb+jk,Noun をもって (~wo motte),Noun + をもって,"Used to indicate means, methods, or time; 'with', 'by means of', 'at'.",Noun + をもって,
OK,をものともせず,jk,,Noun + をものともせず(に),braving / undaunted by / in defiance of,Noun + をものともせず(に) + main clause (positive / determined action).,
OK,をものともせずに,hb,Noun をものともせずに (Noun wo mono tomo sezu ni),,"Expresses the idea that 'despite something, action was carried out', simply translating to 'without being phased by something'.",Noun + をものともせずに,
OK,をよそに,hb,Noun をよそに (~wo yoso ni),,Despite; Notwithstanding; Regardless of,Noun + をよそに,
OK,を余儀なくされる,hb+jk,Noun を余儀なくされる (Noun wo yogi naku sareru),Noun + を余儀なくされる,"Expresses the idea of being forced into a certain situation, 'to be compelled', 'to be obliged'.",Noun + を + 余儀なくされる,
REVIEW,を兼ねて,jk,,Noun + を兼ねて,serving (as both) / combined with,Noun + を兼ねて; attributive: 〜を兼ねた + noun.,junk=兼ねて is N3/N2 material (check ours/level)
OK,を前にして,jk,,Noun + を前にして,in front of / facing / on the verge of,Noun + を前にして; attributive: 〜を前にした + noun.,
OK,を前提として,hb,Noun を前提として (Noun wo zentei toshite),,"Use to express 'on the assumption of', 'based on'.",Noun + を前提として,
OK,を前提にして,hb,Noun を前提にして (Noun wo zentei ni shite),,Assuming; presupposing; on the assumption of.,Noun + を前提にして,
OK,を境にして,hb,Noun を境にして (Noun wo sakai ni shite),,Means 'as a turning point of'; 'since (time)'; 'from (time) on',Noun + を境に(して),
OK,を尻目に,jk,,Noun + を尻目に,disregarding / paying no heed to,Noun + を尻目に.,
OK,を引き合いに,jk,,Noun + を引き合いに (出して),citing as an example / drawing a comparison to,Noun + を引き合いに(出して).,
REVIEW,を極める,jk,,Noun + を極める,reach the extreme of / master / be in the height of,Noun + を極める (conjugates as ichidan verb).,"junk=vocabulary verb, not grammar"
OK,を機にして,hb,Noun を機にして (~wo ki ni shite),,"To take the opportunity to, taking the occasion to, on the occasion of.",Noun + を機にして,
OK,を皮切りに,jk,,Noun + を皮切りに(して),starting with / beginning with,Noun + を皮切りに / を皮切りにして.,
OK,を皮切りにして,hb,Noun を皮切りにして (Noun wo kawakiri ni shite),,"Used to express 'Starting with', 'Beginning with'",Noun + を皮切りに (して),
OK,を目の当たりにする,jk,,Noun + を + 目の当たりにする,witness / see with one's own eyes,Noun + を + 目の当たりにする (conjugates as a suru-compound).,
OK,を禁じ得ない,hb+jk,Noun を禁じ得ない (〜wo kinjienai),Noun (emotion) + を禁じ得ない,"'Cannot help but do', or 'inevitable'",Noun + を禁じ得ない,
OK,を経て,hb,Noun を経て (〜wo hete),,Expresses the idea of 'through' or 'via'; going through some process or phase.,Noun + を経て,
OK,を踏まえて,hb,Noun を踏まえて (〜wo fumaete),,Based on; taking into account; in light of,Noun + を踏まえて,
OK,を限りに,hb+jk,Noun を限りに (Noun wo kagiri ni),Noun + を限りに,"Expresses the idea of 'as of', 'with' or 'from', indicating the end of something or a point of change.",Noun + を限りに,
OK,を顧みず,jk,,Noun + を顧みず,without regard to / disregarding,Noun + を顧みず.,
OK,んがため,jk,,V ない-stem + んがため(に),in order to / for the purpose of (literary),V ない-stem + んがため(に). Irregular: する → せんがため.,family=ん+classical aux family
OK,んがために,hb,～んがために (〜n ga tame ni),,"Expresses the reason or purpose for doing something; 'for the sake of', 'in order to'.","Verb-ます stem + んがために, Noun + のんがために",family=ん+classical aux family
OK,んとする,jk,,Verb volitional + んとする,about to / trying to / on the verge of (literary),V volitional (classical む/ん) + とする. For godan: 行かんとする. For ichidan: 食べんとする (or 食べようとする in modern form).,family=ん+classical aux family
OK,んとばかりに,jk,,Verb volitional + ん + とばかりに,as if to say / as if about to,V volitional (classical ん) + とばかりに.,family=ん+classical aux family
OK,んばかり,jk,,V ない-stem + んばかり(に),as if about to / looking as if,V ない-stem + んばかり(に) / んばかりだ.,family=ん+classical aux family
OK,んばかりに,hb,～んばかりに (〜n bakari ni ～),,Expresses the idea of 'as if to say' or 'as though' something is the case.,"Verb-ます stem + んばかりに, Noun + ばかりに",family=ん+classical aux family
OK,並み,hb,Noun 並み (~nami),,"Indicates 'like' or 'as' something or someone; 'equivalent to', 'around'.",Noun + 並み,
OK,前提で,hb,Noun + 前提で（~zentei de),,"Expresses the condition or requirement for something to be established; 'on the assumption that', 'under the condition of'.",Noun + 前提で,
OK,及ばずながら,jk,,及ばずながら,although my humble effort may fall short / to the best of my ability,及ばずながら + offer / action.,
OK,差し支えない,hb,～差し支えない (〜sashi tsukaenai),,"Expresses the lack of a problem or obstacle; 'it's not a problem', 'it doesn't matter', 'there's no harm'.","Verb-てform + も差し支えない, Noun + が差し支えない",
OK,当の,jk,,当の + noun,the very (person/thing) in question / the X in question,当の + noun.,
OK,折に,hb+jk,～折に (〜ori ni),V plain / noun + の + 折(に),"Indicates the time when something happens; 'when', 'at the time of'.","Verb-dictionary form + 折に, Noun + の折に",
OK,抜きで,jk,,Noun + 抜きで ,without (X) / leaving out,Noun + 抜きで / 抜きに / 抜きでは / 抜きにして.,
OK,抜きでは,jk,, 抜きでは ,without (X) / leaving out,Noun + 抜きで / 抜きに / 抜きでは / 抜きにして.,
OK,抜きで抜きでは抜きに,jk,,Noun + 抜きで / 抜きでは / 抜きに,without (X) / leaving out,Noun + 抜きで / 抜きに / 抜きでは / 抜きにして.,
OK,抜きに,jk,, 抜きに,without (X) / leaving out,Noun + 抜きで / 抜きに / 抜きでは / 抜きにして.,
OK,極まりない,hb,～極まりない (〜kiwamarinai),,"Express extreme state; 'extremely', 'utterly', 'to the utmost'.","Verb-ますstem + 極まりない, Noun + の極まりない",
OK,極まる,hb,～極まる (〜kiwamaru),,"Expresses the idea 'to the utmost', or 'to the extreme'.","Verb-ますstem + 極まる/極まりない, い-Adjective remove い + 極まる/極まりない,な-Adjective + 極まる/極まりない, Noun + 極まる/極まりない",
OK,限りだ,hb,～限りだ (〜kagiri da),,"Expresses an extreme state or condition; translated as 'to the utmost', 'extremely', 'as can be'.","Verb-casual, past + 限りだ, い-Adjective + 限りだ",
OK,限りで,hb,Noun 限りで (~ kagiri de),,As long as; for the duration; while,Noun + 限りで,
OK,～がままに,hb,Verbる がままに (〜ga mama ni),,"Expresses the idea of 'Just as...is/does'; 'while', 'as...follows'.",Verb-dictionary form + がままに,
OK,～が早いか,hb+jk,Verbる が早いか (verb-ru ga hayai ka),V dict-form + が早いか,Express 'as soon as' or 'the moment when'.,Verb [ます stem] + が早いか,
OK,～くらいなら,hb,Verbる くらいなら (〜ru kurai nara),,"Expresses preference to avoid something; 'rather than', 'if it comes to', 'if it's as...as.'",Verb-dictionary form + くらいなら,
OK,～ことなしに,hb+jk,Verbる こと なし に (Verb-ru koto nashi ni),V dict-form + ことなしに,Used to express the meaning 'without doing'.,Verb-dictionary form + ことなしに,
OK,～ことのないように,hb,Verbる ことのないように (Verb-ru koto no nai you ni),,"Expresses the desire to avoid or prevent a certain action; 'so as not to', 'to avoid'.",Verb-る + ことのないように,
OK,～ときりがない,hb,Verbる ときりがない (verb-ru to kiri ga nai),,Used to indicate that something can go on endlessly or without limits,Verb-casual + ときりがない,
OK,～ともなく,hb,Verbる ともなく Verb (Verb-ru tomonaku Verb),,"Used to express 'without a particular intention', 'unconsciously', 'before one knows'.",Verb-dictionary form + ともなく + Verb,
OK,～ともなしに,hb,Verbる ともなしに Verb (Verb-ru tomonashi ni Verb),,This phrase is used to express doing something unintentionally or without conscious thought.,Verb-dictionary + ともなしに + Verb,
REVIEW,～なり,hb,Verbる なり (Verb-ru nari),,Expresses the idea of 'as soon as; the moment'.,Verb-dictionary form + なり,family=なり family; junk=fragment of ～なり～なり / Vなり family
OK,～にとどまらず～も,hb,Verbる にとどまらず～も (Verb-ru ni todomarazu ~ mo),,"Expresses the concept of not only doing verb but also something more; 'not limited to', 'not only... but also'.",Verb-dictionary form + にとどまらず + extra action or outcome,
OK,～にはあたらない,hb,Verbる にはあたらない (Verb-ru ni wa ataranai),,"Used for saying 'it is not necessary to', 'there is no need to'.",Verbます-stem + にはあたらない,
OK,～にも～れない,hb,Verbる にも Verb れない (Verbる にも Verb れない),,"Expresses the idea of 'even if I try or want to do something, I am still unable to do it'.",Verb-potential form + にも + Verb-negative form,
OK,～べからざる,hb+jk,Verbる べからざる Noun (Verb-ru bekara zaru Noun), べからざる,"Used to express what should not be done; 'must not', 'should not'.",Verb-dictionary form + べからざる + noun,
OK,～べからず,hb+jk,Verbる べからず (〜ru bekara zu),V dict-form + べからず ,Expresses the idea of 'must not do' or 'should not do'.,Verb-ru + べからず,family=べし family (classical)
OK,～べく,hb,Verbる べく (Verb-ru beku),,"Expresses the meaning of 'in order to', 'for the purpose of'.",Verb-dictionary form + るべく,family=べし family (classical)
OK,～べくもない,hb+jk,Verbる べくもない (Verb-ru beku mo nai),Verb dict-form + べくもない,Means 'it's impossible to...' or 'there's no way to...',Verb-dictionary form + べくもない,family=べし family (classical)
REVIEW,～までもない,hb+jk,Verbる までもない (〜ru made mo nai),V dict-form + までもなく,It's not necessary to the extent of; no need to.,Verb-る + までもない,family=まで family; junk=ours N2 ～までもない (semantic); dupe_ours=N2 ～までもない
OK,～ものとする,hb,Verbる ものとする (〜ru mono to suru),,Assuming or deciding something as...,Verb-dictionary form + ものとする,
