"Grammar Point","Meaning","Formation","Example (Japanese)","Example (Romaji)","Example (English)","JLPT Level"
"Noun を余儀なくされる (Noun wo yogi naku sareru)","Expresses the idea of being forced into a certain situation, 'to be compelled', 'to be obliged'.","Noun + を + 余儀なくされる","彼は経済的困難により、退学を余儀なくされた。","Kare wa keizai-teki konnan ni yori, taigaku wo yogi naku saremashita.","Due to financial difficulties, he was forced to drop out of school.","JLPT N1"
"Noun を前提として (Noun wo zentei toshite)","Use to express 'on the assumption of', 'based on'.","Noun + を前提として","成功を前提として、ビジネスプランを作成しました。","Seikou wo zentei toshite, bijinesu puran wo sakusei shimashita.","We made a business plan on the assumption of success.","JLPT N1"
"Noun を前提にして (Noun wo zentei ni shite)","Assuming; presupposing; on the assumption of.","Noun + を前提にして","好天を前提にして、明日のピクニックの計画を立てました。","Kouten wo zentei ni shite, ashita no pikunikku no keikaku wo tatemashita.","We planned tomorrow's picnic assuming fine weather.","JLPT N1"
"Noun を境にして (Noun wo sakai ni shite)","Means 'as a turning point of'; 'since (time)'; 'from (time) on'","Noun + を境に(して)","父の死を境にして、彼の性格が一変した。","Chichi no shi wo sakai ni shite, kare no seikaku ga ippen shita.","His personality changed completely since his father's death.","JLPT N1"
"Noun を機にして (~wo ki ni shite)","To take the opportunity to, taking the occasion to, on the occasion of.","Noun + を機にして","引っ越しを機にして、家具を新しくしました。","Hikkoshi wo ki ni shite, kagu wo atarashiku shimashita","I took the opportunity of moving to get new furniture.","JLPT N1"
"Noun を皮切りに / を皮切りにして (Noun wo kakikiri ni / wo kawakiri ni shite)","Used to indicate the starting point of some series of events or actions; 'starting with', 'beginning with'.","Noun + を皮切りに / を皮切りにして","彼はその論文を皮切りにして複数の研究を開始した。","Kare wa sono ronbun wo kakikiri ni shite fukusu no kenkyu wo kaishi shita.","Starting with that thesis, he started multiple research projects.","JLPT N1"
"Noun を皮切りにして (Noun wo kawakiri ni shite)","Used to express 'Starting with', 'Beginning with'","Noun + を皮切りに (して)","彼はその日を皮切りにして毎日ジムに通い始めました。","Kare wa sono hi wo kawakiri ni shite mainichi gym ni kayoi hajimemashita.","Starting from that day, he began to go to the gym every day.","JLPT N1"
"Noun を禁じ得ない (〜wo kinjienai)","'Cannot help but do', or 'inevitable'","Noun + を禁じ得ない","この結果には驚きを禁じ得ない。","Kono kekka ni wa odoroki wo kinjienai.","I can't help but be surprised at this result.","JLPT N1"
"Noun を経て (〜wo hete)","Expresses the idea of 'through' or 'via'; going through some process or phase.","Noun + を経て","彼は苦労を経て成功を手に入れた。","Kare wa kurou wo hete seikou wo te ni ireta.","He achieved success through hardships.","JLPT N1"
"Noun を踏まえて (〜wo fumaete)","Based on; taking into account; in light of","Noun + を踏まえて","過去の結果を踏まえて、新たな計画を立てました。","Kako no kekka wo fumaete, aratana keikaku wo tatemashita.","Based on the previous results, we have made a new plan.","JLPT N1"
"Noun を限りに (Noun wo kagiri ni)","Expresses the idea of 'as of', 'with' or 'from', indicating the end of something or a point of change.","Noun + を限りに","今年度を限りに、この大学での教授活動を終えるつもりです。","Kotoshido wo kagiri ni, kono daigaku de no kyouju katsudou wo oeru tsumori desu.","I intend to end my teaching activities at this university as of this academic year.","JLPT N1"
"Noun 並み (~nami)","Indicates 'like' or 'as' something or someone; 'equivalent to', 'around'.","Noun + 並み","彼はプロのボクサー並みの力を持っています。","Kare wa puro no bokusa- nami no chikara o motte imasu.","He has power equivalent to a professional boxer.","JLPT N1"
"Noun + 前提で（~zentei de)","Expresses the condition or requirement for something to be established; 'on the assumption that', 'under the condition of'.","Noun + 前提で","説明できる英語力がある前提で、この仕事を引き受けてください。","Setsumei dekiru eigo-ryoku ga aru zentei de, kono shigoto o hikiuketekudasai.","Please accept this job on the assumption that you have English skills to explain.","JLPT N1"
"Noun 限りで (~ kagiri de)","As long as; for the duration; while","Noun + 限りで","私が生きている限りで、あなたを支えます。","Watashi ga ikite iru kagiri de, anata wo sasaemasu.","As long as I'm alive, I will support you.","JLPT N1"
"Verb がてら (~ gatera)","Expresses doing something while doing another; 'while', 'on the occasion of'.","Verb-casual + がてら","散歩がてらに郵便局へ行った。","Sanpo gatera ni yuubinkyoku e itta.","I went to the post office while taking a walk.","JLPT N1"
"Verb こそすれ (~koso sure)","Expresses 'the extent or degree of doing something is so much that...' or 'does enough to...'","Verb-ます stem + こそすれ","彼は友達を助けることこそすれ、自分を卑下することはありません。","Kare wa tomodachi o tasukeru koto koso sure, jibun o hika suru koto wa arimasen.","He does enough to help his friends but he never belittles himself.","JLPT N1"
"Verb させられる (~saserareru)","Expresses 'being forced to do something' or 'being made to do something'.","Verb-casual(non-past)+させられる","彼に無理やり飲ませられた。","Kare ni muriyari nomasaserareta.","He forced me to drink against my will.","JLPT N1"
"Verb ざるを得ない (~ zaru wo enai)","'Cannot but', 'have no choice but to', 'forced to'","Verb-dictionary form + ざるを得ない","この仕事が嫌ならもう辞めざるを得ない。","Kono shigoto ga iya nara mou yamezaru o enai.","If you hate this job, you have no choice but to quit.","JLPT N1"
"Verb ずじまい (~zu jimai)","Expressing regret for not having done something; not being able to; not having the chance to.","Verb-ない form (remove ない） + ずじまい","日本へ来て、一度も富士山を見ることなく帰国せずじまいだ。","Nihon e kite, ichido mo Fuji-san o miru koto naku kikoku sezu jimai da.","I came to Japan but ended up going home without ever getting to see Mt. Fuji.","JLPT N1"
"Verb ずとも (〜zu tomo)","This structure is used to mean 'Even without doing (an action), (an action) is still achievable'.","Verb-negative stem + ずとも","朝ごはんを食べずとも、働くことができます。","Asagohan wo tabezu tomo, hataraku koto ga dekimasu.","Even without eating breakfast, I can work.","JLPT N1"
"Verb ずにはおかない (~zuni wa okanai)","Expresses the idea of 'cannot help but...', 'cannot leave it as it is' or 'must do something'.","Verb-dictionary form + ずにはおかない","彼が困っていると聞いたら、助けずにはおかない。","Kare ga komatte iru to kitta, tasukezuni wa okanai.","If I hear that he is in trouble, I cannot help but assist him.","JLPT N1"
"Verb ずにはすまない (Verb zuni wa sumanai)","'Cannot do without', 'have to', 'unavoidable'.","Verb-ないform(remove ない) + ずにはすまない","この問題を解決しないと、社会全体が影響を受けるので、解決せずにはすまない。","Kono mondai o kaiketsu shinauto, shakai zentai ga eikyou o ukeru node, kaiketsu sezu niwa sumanai.","Since this issue will affect the entire society if not resolved, we cannot do without resolving it.","JLPT N1"
"Verb そうにない (Verb sou ni nai)","Expresses unlikelihood or that something is not likely to happen.","Verb-stem + そうにない","彼はそんなに早く走るそうにない。","Kare wa sonna ni hayaku hashiru sou ni nai.","He doesn't seem likely to run that fast.","JLPT N1"
"Verb そうもない (〜sou monai)","Expresses the negative potential; 'it doesn't seem like', 'it's not likely'.","Verb-volitional form + そうもない","今日中に仕事を終えるそうもない。","Kyoujuu ni shigoto o oeru sou monai.","It doesn't seem like I'll finish the work today.","JLPT N1"
"Verb そばから (〜soba kara)","Expresses the notion that as soon as one action finishes, another begins.","Verb-ますstem + そばから","掃除をするそばから子供たちが散らかす。","Souji wo suru soba kara kodomo-tachi ga chirakasu.","As soon as I clean, the kids mess it up.","JLPT N1"
"Verb たが最後 (〜ta ga saigo)","Expression used to denote the idea that 'once something has occurred, it is final'; 'once', 'as soon as', 'the moment'.","Verb-casual, past (た form) + が最後","彼が一度怒ったが最後、誰も彼を止めることはできません。","Kare ga ichido okotta ga saigo, dare mo kare o tomeru koto wa dekimasen.","Once he gets angry, no one can stop him.","JLPT N1"
"Verb たことにしてください (~ ta koto ni shite kudasai)","Asking someone to pretend or accept that something has already happened or taken a certain state.","Verb(past, casual) + ことにしてください","昨日のことは忘れたことにしてください。","Kinou no koto wa wasureta koto ni shite kudasai.","Please act as if you have forgotten about yesterday.","JLPT N1"
"Verb たら Verb たで (~ tara ~ tade)","Expresses the sequence of actions; 'after doing..., did...'.","Verb(たform) + ら + Verb(たform) + で","彼と話したら、思ってたのと全然違う人だったで。","Kare to hanashitara, omotteta no to zenzen chigau hito datta de.","After talking to him, he was different from the person I had thought.","JLPT N1"
"Verb たら きりがない (Verb tara kiri ga nai)","Represents an endless cycle of doing something; 'if one starts doing something, it will not stop'","Verb-た form + きりがない","このエンジンを修理すれば、また壊れて、また修理すれば、きりがない。","Kono enjin o shuuri sureba, mata kowarete, mata shuuri sureba, kiri ga nai.","If I fix this engine and then it breaks again and I fix it again, it will never end.","JLPT N1"
"Verb たら最後 (〜tara saigo)","Expresses that once a certain action happens, a situation changes irreversibly; 'once', 'after'.","Verb-た form + 最後","このゲームを始めたら最後、時間の経つのを忘れてしまいます。","Kono geemu wo hajimetara saigo, jikan no tatsu no wo wasurete shimaimasu.","Once you start this game, you lose track of time.","JLPT N1"
"Verb つ Verb つ (Verb tsu Verb tsu)","Expresses a series of actions happening repeatedly one after another.","Verb-stem(masu-form) + つ  + same Verb-stem(masu-form) + つ","朝から晩まで働きつ勉強つで疲れてしまった。","Asa kara ban made hataraki tsu benkyou tsu de tsukarete shimatta.","I'm exhausted from working and studying from morning till night.","JLPT N1"
"Verb てからというもの (Verb te kara to iu mono)","Expresses a change that has been consistent since a certain time or event.","Verb-てform + からというもの","彼女と別れてからというもの、一人で過ごす時間が増えました。","Kanojo to wakarete kara toiu mono, hitori de sugosu jikan ga fuetamashita.","Since breaking up with her, the time I spend alone has increased.","JLPT N1"
"Verb てこそ (Verb te koso)","Express the idea that 'only by doing something, something else can be achieved or realized.'","Verb-て form + こそ","実際に使ってこそ、その価値を理解できる。","Jissai ni tsukatte koso, sono kachi wo rikai dekiru.","You can understand its value only by actually using it.","JLPT N1"
"Verb ては (～te wa)","Expresses a repeated negative event; 'whenever', 'the more...the more'.","Verb-てform + は","彼女に会うたびに、私は緊張してしまいます。","Kanojo ni au tabi ni, watashi wa kinchou shite shimaimasu.","Whenever I meet her, I get nervous.","JLPT N1"
"Verb ては Verb (~ te wa ~)","Used to express a repeated pattern of action, commonly translating into English as 'every time' or 'whenever'.","Verb-て form + は + Verb","私が通勤しては、電子書籍を読んでいます。","Watashi ga tsuukin shite wa, denshi shoseki o yonde imasu.","Whenever I commute, I read e-books.","JLPT N1"
"Verb てまでも (~ temademo)","Expresses the idea of 'even if it means....'; 'no matter what it takes'","Verb-て form + までも","試験に合格するために、寝る時間を削ってまでも勉強します。","Shiken ni goukaku suru tame ni, neru jikan o kezutte mademo benkyou shimasu.","In order to pass the exam, I will study even if it means cutting down on sleep.","JLPT N1"
"Verb てみせる (Verb te miseru)","Expresses 'show by doing', 'demonstrate', 'prove by action'.","Verb-te form + みせる","彼はそのパズルを解いてみせた。","Kare wa sono pazuru o toite miseta.","He solved the puzzle to show me.","JLPT N1"
"Verb てやまない (Verb te yamanai)","To express the idea of 'doing something incessantly', 'can't help but do'.","Verb-te form + やまない","私は母を思ってやまない。","Watashi wa haha o omotte yamanai.","I can't help but think about my mother.","JLPT N1"
"Verb ないではおかない (~ nai de wa okanai)","Used to indicate that something definitely happens as a result or a consequence of a certain action.","Verb-ない form + ではおかない","彼女は毎回遅刻をしては、先生に怒られないではおかない。","Kanojo wa maikai chikoku o shite wa, sensei ni okorarenai dewa okanai.","Every time she's late, she wouldn't fail to get scolded by the teacher.","JLPT N1"
"Verb ないではすまない (Verb nai dewa sumanai)","Express a condition that 'cannot end without doing', 'must do no matter what', or 'cannot help but do'.","Verb-negative form + ではすまない","失敗をしたら、謝らないではすまない。","Shippai o shitara, ayamaranai dewa sumanai.","If you make a mistake, you cannot end without apologizing.","JLPT N1"
"Verb ないまでも (Verb nai made mo)","Even if not completely; at least","Verb-ない form + までも","全てを理解しないまでも、少なくとも基本的なことは分かればいい。","Subete wo rikai shinai made mo, sukunakutomo kihon tekina koto wa wakareba ii.","Even if you don't understand everything, at least as long as you understand the basics.","JLPT N1"
"Verb ないものだろうか (Verb nai mono darou ka)","Expressing the desire or inquisition; 'Can't I/you/we', 'Shouldn't I/you/we'.","Verb-casual + ないものだろうか","もっと時間があれば、ここに来るないものだろうか。","Motto jikan ga areba, koko ni kuru nai mono darou ka.","If I had more time, wouldn't it be possible to come here?","JLPT N1"
"Verb ないものでもない (Verb nai mono demo nai)","Expresses the idea that 'it's not that I don't...'; 'it's not that there aren't...'","Verb-negative form (ない form) + ものでもない","旅行に行きたいと思うこともないものでもない。","Ryokou ni ikitai to omou koto mo nai mono demo nai.","It's not that I don't ever want to travel.","JLPT N1"
"Verb の ない Noun (~ no nai ~)","Used to modify a noun with a negative verb form; 'Noun where verb does not happen'.","Verb in negative form + の + Noun","笑いのない人生は、つまらない。","Warai no nai jinsei wa, tsumaranai.","A life without laughter is boring.","JLPT N1"
"Verb ば きり が ない (〜ba kiri ga nai)","Used to indicate an absence of any limit or end, expressing 'if one starts to …, there will be no end to it'.","Verb-conditional form + ば + きりがない","彼のことを考えれば考えるほど、頭が痛くなるばかりだ。","Kare no koto o kangaereba kangaeru hodo, atama ga itaku naru bakari da.","The more I think about him, the more my head hurts.","JLPT N1"
"Verb もしないで (~ mo shinai de)","Meaning: 'without even doing'.","Verb-dictionary form + もしないで","調べもしないで、答えを書きました。","Shirabe mo shinai de, kotae wo kakimashita.","I wrote the answer without even investigating.","JLPT N1"
"Verb やしない (~yashinai)","Expresses the idea of 'not doing such things', 'no way', or strong denial.","Verb-dictionary form + やしない","こんな時に泣きやしない。","Konna toki ni nakiyashinai.","I would never cry at a time like this.","JLPT N1"
"Verb よう (~ you)","The means to do something or the way something is done.","Verb-て form + よう","この問題を解くように努力します。","Kono mondai wo toku you ni doryoku shimasu.","I will try to solve this problem.","JLPT N1"
"Verb ようか Verbる まいか (Verb you ka Verb ru mai ka)","Expresses hesitation or indecision between two actions; 'whether to' or 'should I or not'.","Verb-volitional + か + Verb-nonpast negative + か","彼に話すべきようか話さぬべきか、本当に迷っている。","Kare ni hanasu beki you ka hanasanu beki ka, hontou ni mayotte iru.","I'm really unsure whether I should talk to him or not.","JLPT N1"
"Verb ようが Verb るまいが (Verb you ga Verb ru mai ga)","Expresses the sense of 'whether...or', 'no matter whether... or not'.","Verb-volitional form + が + Verb-negative volitional form + が","彼が来ようが来るまいが、パーティーは始まります。","Kare ga koyou ga kurumai ga, paatii wa hajimarimasu.","Whether he comes or not, the party will start.","JLPT N1"
"Verb ようがない (〜yō ga nai)","No way to do something. Not possible.","Verb-volitional + ようがない","電車が混んでいて、動くようがない。","Densha ga konde ite, ugoku yō ga nai.","The train is so crowded that I can't move.","JLPT N1"
"Verb ようと Verbる まいと (Verb you to Verb ru mai to)","This structure indicates that regardless if one does verb 1 or not (verb 2), the outcome remains the same.","Verb-volitional form + ようと + Verb-negative form + まいと","あなたが来ようと来るまいと、パーティーは予定通りに始まります。","Anata ga koyou to kuru mai to, paatii wa yoteidouri ni hajimarimasu.","Whether you come or not, the party will start as scheduled.","JLPT N1"
"Verb ようにも (〜you ni mo)","Used to express something that cannot be done even though one wants to.","Verb-volitional form + ようにも","もう少し速く走ろうにも、足が痛くて無理だ。","Mou sukoshi hayaku hashirou ni mo, ashi ga itakute muri da.","I would like to run a little faster, but I can't because my leg hurts.","JLPT N1"
"Verb ようにも Verb れない (〜you ni mo 〜renai)","Expresses the inability to do something even if one wants to","Verb-potential + ようにも + Verb-potential negative form","彼を信じようにも信じられない証拠がある。","Kare o shinjiyou ni mo shinjirarenai shouko ga aru.","There is evidence that makes it impossible to believe him, even if I want to believe him.","JLPT N1"
"Verb ようもない (~you mo nai)","Expresses that something is impossible to do.","Verb-potential form-(removeい)+う + もない","この問題を解くようもない。","Kono mondai o toku you mo nai.","It's impossible to solve this problem.","JLPT N1"
"Verbる がままに (〜ga mama ni)","Expresses the idea of 'Just as...is/does'; 'while', 'as...follows'.","Verb-dictionary form + がままに","窓を開けたままに、風が部屋に入ってきました。","Mado o aketa mama ni, kaze ga heya ni haitte kimashita.","With the window left open, the wind came into the room.","JLPT N1"
"Verbる が早いか (verb-ru ga hayai ka)","Express 'as soon as' or 'the moment when'.","Verb [ます stem] + が早いか","部屋に入るが早いか、彼はテレビをつけた。","Heya ni hairu ga hayai ka, kare wa terebi o tsuketa.","The moment he entered the room, he turned on the TV.","JLPT N1"
"Verbる くらいなら (〜ru kurai nara)","Expresses preference to avoid something; 'rather than', 'if it comes to', 'if it's as...as.'","Verb-dictionary form + くらいなら","一人で行くくらいなら、家にいるほうがましです。","Hitori de iku kurai nara, ie ni iru hou ga mashi desu.","I would rather stay at home than go alone.","JLPT N1"
"Verbる こと なし に (Verb-ru koto nashi ni)","Used to express the meaning 'without doing'.","Verb-dictionary form + ことなしに","試験を勉強することなしに合格しました。","Shiken wo benkyou suru koto nashi ni goukaku shimashita.","I passed the exam without studying.","JLPT N1"
"Verbる ことのないように (Verb-ru koto no nai you ni)","Expresses the desire to avoid or prevent a certain action; 'so as not to', 'to avoid'.","Verb-る + ことのないように","車をなくすことのないように、駐車場に車をロックしましょう。","Kuruma wo nakusu koto no nai you ni, chuushajou ni kuruma wo rokku shimashou.","In order not to lose the car, let's lock it at the parking lot.","JLPT N1"
"Verbる ときりがない (verb-ru to kiri ga nai)","Used to indicate that something can go on endlessly or without limits","Verb-casual + ときりがない","彼の悪口を言うときりがない。","Kare no waruguchi o iu to kiri ga nai.","If we start talking about his faults, there's no end.","JLPT N1"
"Verbる ともなく Verb (Verb-ru tomonaku Verb)","Used to express 'without a particular intention', 'unconsciously', 'before one knows'.","Verb-dictionary form + ともなく + Verb","遠くを見るともなく窓の外を眺めた。","Tooku o miru tomonaku mado no soto o nagameta.","I found myself gazing out the window, not really looking at anything in particular.","JLPT N1"
"Verbる ともなしに Verb (Verb-ru tomonashi ni Verb)","This phrase is used to express doing something unintentionally or without conscious thought.","Verb-dictionary + ともなしに + Verb","本を読むともなしに眠ってしまった。","Hon o yomu tomonashi ni nemutte shimatta.","I ended up falling asleep while reading the book without really meaning to.","JLPT N1"
"Verbる なり (Verb-ru nari)","Expresses the idea of 'as soon as; the moment'.","Verb-dictionary form + なり","家に帰るなり、すぐに寝た。","Ie ni kaeru nari, sugu ni neta.","As soon as I got home, I went to bed.","JLPT N1"
"Verbる にとどまらず～も (Verb-ru ni todomarazu ~ mo)","Expresses the concept of not only doing verb but also something more; 'not limited to', 'not only... but also'.","Verb-dictionary form + にとどまらず + extra action or outcome","彼は仕事にとどまらず、ボランティア活動もしている。","Kare wa shigoto ni todomarazu, borantia katsudou mo shite iru.","He is not only working but also doing volunteer activities.","JLPT N1"
"Verbる にはあたらない (Verb-ru ni wa ataranai)","Used for saying 'it is not necessary to', 'there is no need to'.","Verbます-stem + にはあたらない","パニックに陥るにはあたらない。","Panikku ni ochiiru niwa ataranai.","There is no need to panic.","JLPT N1"
"Verbる にも (Verb-ru ni mo)","The action described by the verb is deemed impossible.","Verb-る + にも","明日雨が降ったとしても、傘を持つことにもできない。","Ashita ame ga futta to shite mo, kasa wo motsu koto ni mo dekinai.","Even if it rains tomorrow, I won't be able to bring an umbrella.","JLPT N1"
"Verbる にも Verb れない (Verbる にも Verb れない)","Expresses the idea of 'even if I try or want to do something, I am still unable to do it'.","Verb-potential form + にも + Verb-negative form","彼を理解しようにも理解できない。","Kare wo rikai shiyou ni mo rikai dekinai.","Even if I try to understand him, I can't.","JLPT N1"
"Verbる べからざる Noun (Verb-ru bekara zaru Noun)","Used to express what should not be done; 'must not', 'should not'.","Verb-dictionary form + べからざる + noun","人を裏切るべからざる行為だ。","Hito o uragiru bekara zaru koui da.","Betraying people is an act that should not be done.","JLPT N1"
"Verbる べからず (〜ru bekara zu)","Expresses the idea of 'must not do' or 'should not do'.","Verb-ru + べからず","嘘をつくべからず。","Uso wo tsuku bekara zu.","One must not tell lies.","JLPT N1"
"Verbる べく (Verb-ru beku)","Expresses the meaning of 'in order to', 'for the purpose of'.","Verb-dictionary form + るべく","成功するべく、日々努力しています。","Seikou suru beku, hibi doryoku shiteimasu.","In order to succeed, I am working hard every day.","JLPT N1"
"Verbる べくもない (Verb-ru beku mo nai)","Means 'it's impossible to...' or 'there's no way to...'","Verb-dictionary form + べくもない","その問題はとても難しく、解くべくもない。","Sono mondai wa totemo muzukashiku, toku beku mo nai.","That problem is so difficult, it's impossible to solve.","JLPT N1"
"Verbる までもない (〜ru made mo nai)","It's not necessary to the extent of; no need to.","Verb-る + までもない","そんなに心配するまでもない。","Sonna ni shinpai suru made mo nai.","There's no need to worry that much.","JLPT N1"
"Verbる ものとする (〜ru mono to suru)","Assuming or deciding something as...","Verb-dictionary form + ものとする","ここでの話し合いは秘密とするものとします。","Koko de no hanashiai wa himitsu to suru mono to shimasu.","The discussions here are to be kept confidential.","JLPT N1"
"Verbる や否や (verb-ru ya ina ya)","Expresses the idea of 'as soon as', 'the moment'.","Verb-dictionary form + や否や","彼女が家に帰るや否や、すぐにテレビをつけました。","Kanojo ga ie ni kaeru ya ina ya, sugu ni terebi o tsukemashita.","As soon as she returned home, she turned on the TV.","JLPT N1"
"Verbる 始末だ (〜ru shimatsu da)","Expresses the result or conclusion of an action, often with a negative or unfortunate outcome.","Verb-dictionary form + 始末だ","忘れてしまって、パスポートを家に置いてくる始末だった。","Wasurete shimatte, pasupooto wo ie ni okitekuru shimatsu datta.","I ended up leaving my passport at home because I forgot.","JLPT N1"
"Verbる 嫌いがある (～ru kirai ga aru)","Tendency to do a negative action; have a habit of.","Verb-dictionary form + 嫌いがある","彼女は遅刻する嫌いがある。","Kanojo wa chikoku suru kirai ga aru.","She has a tendency to be late.","JLPT N1"
"いつまで～のやら。。。 (itsumade ~ no yara)","Express uncertainty regarding duration; 'don't know when... will end'.","いつまで + Verb-てform + のやら","この試験勉強はいつまで続くのやら。","Kono shiken benkyou wa itsumade tsuzuku no yara.","I don't know when this exam study will end.","JLPT N1"
"～が Verb られる (〜ga Verb rareru)","Expresses potential or ability to do something; 'can', 'able to'.","Verb-ます stem + られる","彼がこの問題を解けると思いますか？","Kare ga kono mondai o tokeru to omoimasu ka?","Do you think he can solve this problem?","JLPT N1"
"～かと思いきや (〜ka to omoikiya)","Expressing unexpected outcomes; 'just when I thought', 'but'.","Sentence + かと思いきや, (Noun/ な-Adjective + だ/ い-Adjective/ Verb (past form) + かと思いきや)","明日は晴れるかと思いきや、まさかの雨が降った。","Ashita wa hareru ka to omoikiya, masaka no ame ga futta.","I thought it would be sunny tomorrow, but unexpectedly it rained.","JLPT N1"
"～がゆえに (～ga yue ni)","Expresses the reason or cause; 'because', 'due to', 'as a result of'.","Noun + がゆえに","愛情がゆえに、彼は彼女を許した。","Aijou ga yue ni, kare wa kanojo o yurushita.","Because of love, he forgave her.","JLPT N1"
"～がゆえの Noun (〜ga yue no Noun)","Expresses the reason or cause for something; 'because of', 'due to'.","Noun / Verb-dictionary form + がゆえの + Noun","愛がゆえの悲しみ。","Ai ga yue no kanashimi.","Sadness due to love.","JLPT N1"
"～から Noun に 至る まで (〜kara 〜ni itaru made)","Expressing range from one thing to another; 'from...to', 'ranging from...to'.","Noun[始点] + から + Noun[終点] + に至るまで","このバンドの曲は、青年から老人に至るまで、人々に愛されています。","Kono bando no kyoku wa, seinen kara roujin ni itaru made, hitobito ni aisarete imasu.","The songs of this band are loved by people, ranging from young to old.","JLPT N1"
"～ごとく (〜gotoku)","To seem like; as if; as though.","Verb-て + ごとく,  Noun + の + ごとく","彼は鳥のごとく飛んでいるように見えた。","Kare wa tori no gotoku tonde iru you ni mieta.","He looked as though he was flying like a bird.","JLPT N1"
"～こととて (〜koto tote)","Used to express the reason or premise for a decision or judgement; 'since', 'because'.","Verb-casual + こととて, Noun + の + こととて","彼は裁判を勝つために全資産を使うこととて、弁護士に頼んだ。","Kare wa saiban o katsu tame ni zenshisan o tsukau koto tote, bengoshi ni tanonda.","Since he is using all his assets to win the trial, he asked a lawyer.","JLPT N1"
"～ずにすんだ (〜zuni sunda)","Expresses the idea of 'was able to do without'; 'managed to avoid'.","Verb-ず form + に + すんだ","彼は事故を起こさずにすんだ。","Kare wa jiko o okosazu ni sunda.","He managed to avoid having an accident.","JLPT N1"
"～だろうとなかろうと (〜darou to nakarou to)","Expresses 'regardless of whether it is or isn't'.","Noun + だろうとなかろうと","試験が難しいだろうとなかろうと、全力で頑張ります。","Shiken ga muzukashii darou to nakarou to, zenryoku de ganbarimasu.","Regardless of whether the exam is difficult or not, I will do my best.","JLPT N1"
"～つもりだ (〜tsumori da)","Expresses the speaker's intention or plan.","Verb-dictionary form + つもりだ","明日は早く起きるつもりです。","Ashita wa hayaku okiru tsumori desu.","I plan to wake up early tomorrow.","JLPT N1"
"～つもりで (〜tsumori de)","Expresses the speaker's intention or plan; 'with the intention of', 'planning to'.","Verb-dictionary form + つもりで","私は日本に住むつもりで日本語を勉強しています。","Watashi wa Nihon ni sumu tsumori de Nihongo o benkyou shiteimasu.","I am studying Japanese with the intention of living in Japan.","JLPT N1"
"～ではすまない (〜dewa sumanai)","Expresses the speaker's strong feeling that just doing something is not enough or will not suffice.","Verb-dictionary form + ではすまない, い-adjective + ではすまない, な-adjective + ではすまない, Noun + ではすまない","ただ謝るではすまない。何か行動を取らなければならない。","Tada ayamaru dewa sumanai. Nanika koudou o toranakereba naranai.","Just apologizing will not suffice. Some action needs to be taken.","JLPT N1"
"～とあって (〜to atte)","Expresses a special situation or event due to certain circumstances.","Noun + とあって","春休みとあって、公園は子供たちでいっぱいだ。","Haruyasumi to atte, kouen wa kodomo-tachi de ippai da.","Because it's spring break, the park is full of children.","JLPT N1"
"～とあれば (〜to areba)","Express a condition; 'if', 'when', 'since'.","Verb-casual + とあれば, い-Adjective + とあれば,な-Adjective + だとあれば, Noun + だとあれば","無料とあれば、誰でも利用したいと思います。","Muryou to areba, dare demo riyou shitai to omoimasu.","If it's free, everyone would want to use it.","JLPT N1"
"～といえども (〜to iedomo)","Even if it is said that; Even though; Although","Noun + といえども, Verb-plain form + といえども","彼が天才といえども、ミスをすることはあります。","Kare ga tensai to iedomo, misu o suru koto wa arimasu.","Even though he is a genius, he makes mistakes.","JLPT N1"
"～といったらありはしない (〜to ittara ari wa shinai)","Express extreme exclamation; 'extremely', 'unbelievable', 'unsurpassed'.","Noun + といったらありはしない, な-Adjective + といったらありはしない","彼の英語の上手さといったらありはしない。","Kare no eigo no jouzusa to ittara ari wa shinai.","His English is unbelievably good.","JLPT N1"
"～といったらありゃしない (〜to ittara arya shinai)","Used to emphasise that something is to the extreme; 'you have no idea how...', 'it's incredibly...'.","Verb-casual + といったらありゃしない, い-Adjective + といったらありゃしない, な-Adjective + だといったらありゃしない, Noun + だといったらありゃしない","その店のラーメンは美味しいといったらありゃしない。","Sono mise no ramen wa oishii to ittara arya shinai.","You have no idea how delicious the ramen at that shop is.","JLPT N1"
"～といったらない。 (〜to ittara nai)","Expresses the extreme of something; 'nothing can be more ... than this'","i-Adjective + といったらない, な-Adjective + だといったらない, Noun + だといったらない","今日は寒いといったらない。","Kyou wa samui to ittara nai.","It's extremely cold today.","JLPT N1"
"～ときている (〜to kite iru)","Used to express that a situation is serious or extreme, often with a negative connotation.","Verb-casual, い-Adjective, な-Adjective +で + ときている, Noun + だ + ときている","仕事が忙しいときているから、オフィスでは集中できない。","Shigoto ga isogashii toki te iru kara, ofisu de wa shuuchuu dekinai.","With how busy work is, I can't concentrate in the office.","JLPT N1"
"～ところを (〜tokoro wo)","Expresses the concept of 'despite' or 'even though'.","Verb-てform + いる + ところを, Noun + の + ところを, い-Adjective + ところを, な-Adjective + な + ところを","見ているところを、急に停電になった。","Mite iru tokoro wo, kyuu ni teiden ni natta.","Even though I was watching, it suddenly blacked out.","JLPT N1"
